system time, time elapsed, drive_pos, drive_torque
1763924218265103575,1.581056,4.501464,0.566541,
1763924218271105926,1.587058,4.518636,0.659124,
1763924218277105426,1.593058,4.535936,0.537664,
1763924218283107925,1.599060,4.553406,0.588633,
1763924218289118110,1.605071,4.570834,0.608137,
1763924218295125998,1.611078,4.588219,0.582197,
1763924218301113831,1.617066,4.605476,0.527016,
1763924218307116053,1.623069,4.622818,0.522605,
1763924218313108219,1.629061,4.640374,0.494238,
1763924218319104514,1.635057,4.657971,0.428636,
